"Id","Name","Parent","CPU","Threads","WorkingSet","Path"
"6880","AdobeCollabSync",,"23,09375","System.Diagnostics.ProcessThreadCollection","11894784","C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe"
"7376","AdobeCollabSync",,"0,15625","System.Diagnostics.ProcessThreadCollection","344064","C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe"
"8572","afwServ",,,"System.Diagnostics.ProcessThreadCollection","10592256",
"1560","AggregatorHost",,,"System.Diagnostics.ProcessThreadCollection","4816896",
"18824","AppHelperCap",,,"System.Diagnostics.ProcessThreadCollection","2789376",
"11016","ApplicationFrameHost",,"0,75","System.Diagnostics.ProcessThreadCollection","3784704","C:\WINDOWS\system32\ApplicationFrameHost.exe"
"5860","aswEngSrv",,,"System.Diagnostics.ProcessThreadCollection","90116096",
"6776","aswidsagent",,,"System.Diagnostics.ProcessThreadCollection","39288832",
"4628","aswToolsSvc",,,"System.Diagnostics.ProcessThreadCollection","24072192",
"24520","audiodg",,"15,40625","System.Diagnostics.ProcessThreadCollection","23183360",
"4784","AvastSvc",,,"System.Diagnostics.ProcessThreadCollection","120610816",
"2888","AvastUI",,"54,921875","System.Diagnostics.ProcessThreadCollection","45346816","C:\Program Files\Avast Software\Avast\AvastUI.exe"
"4728","AvastUI",,"0,34375","System.Diagnostics.ProcessThreadCollection","5271552","C:\Program Files\Avast Software\Avast\AvastUI.exe"
"14440","AvastUI",,"0,78125","System.Diagnostics.ProcessThreadCollection","10219520","C:\Program Files\Avast Software\Avast\AvastUI.exe"
"17900","AvastUI",,"0,90625","System.Diagnostics.ProcessThreadCollection","12394496","C:\Program Files\Avast Software\Avast\AvastUI.exe"
"18256","AvastUI",,"0,75","System.Diagnostics.ProcessThreadCollection","5660672","C:\Program Files\Avast Software\Avast\AvastUI.exe"
"13236","backgroundTaskHost",,"1,40625","System.Diagnostics.ProcessThreadCollection","6754304","C:\WINDOWS\system32\backgroundTaskHost.exe"
"15912","backgroundTaskHost",,"0,65625","System.Diagnostics.ProcessThreadCollection","69632","C:\WINDOWS\system32\backgroundTaskHost.exe"
"19524","backgroundTaskHost",,"0,140625","System.Diagnostics.ProcessThreadCollection","57344","C:\windows\system32\backgroundTaskHost.exe"
"15616","CCleaner",,"0,546875","System.Diagnostics.ProcessThreadCollection","3452928",
"17676","CCleaner_service",,,"System.Diagnostics.ProcessThreadCollection","30588928",
"1084","chrome",,"40,5625","System.Diagnostics.ProcessThreadCollection","80498688","C:\Program Files\Google\Chrome\Application\chrome.exe"
"3412","chrome",,"38,46875","System.Diagnostics.ProcessThreadCollection","73768960","C:\Program Files\Google\Chrome\Application\chrome.exe"
"5752","chrome",,"32,640625","System.Diagnostics.ProcessThreadCollection","71258112","C:\Program Files\Google\Chrome\Application\chrome.exe"
"6016","chrome",,"1,875","System.Diagnostics.ProcessThreadCollection","6418432","C:\Program Files\Google\Chrome\Application\chrome.exe"
"6116","chrome",,"0,09375","System.Diagnostics.ProcessThreadCollection","2076672","C:\Program Files\Google\Chrome\Application\chrome.exe"
"6132","chrome",,"12,9375","System.Diagnostics.ProcessThreadCollection","67436544","C:\Program Files\Google\Chrome\Application\chrome.exe"
"7548","chrome",,"5,65625","System.Diagnostics.ProcessThreadCollection","21278720","C:\Program Files\Google\Chrome\Application\chrome.exe"
"7652","chrome",,"75,828125","System.Diagnostics.ProcessThreadCollection","141852672","C:\Program Files\Google\Chrome\Application\chrome.exe"
"7752","chrome",,"3,96875","System.Diagnostics.ProcessThreadCollection","3170304","C:\Program Files\Google\Chrome\Application\chrome.exe"
"8520","chrome",,"1818,921875","System.Diagnostics.ProcessThreadCollection","752394240","C:\Program Files\Google\Chrome\Application\chrome.exe"
"8696","chrome",,"0,140625","System.Diagnostics.ProcessThreadCollection","32661504","C:\Program Files\Google\Chrome\Application\chrome.exe"
"10824","chrome",,"18,578125","System.Diagnostics.ProcessThreadCollection","84471808","C:\Program Files\Google\Chrome\Application\chrome.exe"
