"Id","Name","Parent","CPU","Threads","WorkingSet","Path"
"6880","AdobeCollabSync",,"23,0625","System.Diagnostics.ProcessThreadCollection","11804672","C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe"
"7376","AdobeCollabSync",,"0,15625","System.Diagnostics.ProcessThreadCollection","286720","C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe"
"8572","afwServ",,,"System.Diagnostics.ProcessThreadCollection","10563584",
"1560","AggregatorHost",,,"System.Diagnostics.ProcessThreadCollection","5083136",
"18824","AppHelperCap",,,"System.Diagnostics.ProcessThreadCollection","3366912",
"11016","ApplicationFrameHost",,"0,75","System.Diagnostics.ProcessThreadCollection","3850240","C:\WINDOWS\system32\ApplicationFrameHost.exe"
"5860","aswEngSrv",,,"System.Diagnostics.ProcessThreadCollection","90783744",
"6776","aswidsagent",,,"System.Diagnostics.ProcessThreadCollection","37560320",
"4628","aswToolsSvc",,,"System.Diagnostics.ProcessThreadCollection","24674304",
"24520","audiodg",,"15,40625","System.Diagnostics.ProcessThreadCollection","24027136",
"4784","AvastSvc",,,"System.Diagnostics.ProcessThreadCollection","123408384",
"2888","AvastUI",,"54,890625","System.Diagnostics.ProcessThreadCollection","47374336","C:\Program Files\Avast Software\Avast\AvastUI.exe"
"4728","AvastUI",,"0,34375","System.Diagnostics.ProcessThreadCollection","5431296","C:\Program Files\Avast Software\Avast\AvastUI.exe"
"14440","AvastUI",,"0,78125","System.Diagnostics.ProcessThreadCollection","10219520","C:\Program Files\Avast Software\Avast\AvastUI.exe"
"17900","AvastUI",,"0,90625","System.Diagnostics.ProcessThreadCollection","12632064","C:\Program Files\Avast Software\Avast\AvastUI.exe"
"18256","AvastUI",,"0,75","System.Diagnostics.ProcessThreadCollection","5672960","C:\Program Files\Avast Software\Avast\AvastUI.exe"
"13236","backgroundTaskHost",,"1,40625","System.Diagnostics.ProcessThreadCollection","7434240","C:\WINDOWS\system32\backgroundTaskHost.exe"
"15912","backgroundTaskHost",,"0,65625","System.Diagnostics.ProcessThreadCollection","16384","C:\WINDOWS\system32\backgroundTaskHost.exe"
"19524","backgroundTaskHost",,"0,140625","System.Diagnostics.ProcessThreadCollection","16384","C:\windows\system32\backgroundTaskHost.exe"
"15616","CCleaner",,"0,546875","System.Diagnostics.ProcessThreadCollection","4055040",
"17676","CCleaner_service",,,"System.Diagnostics.ProcessThreadCollection","30584832",
"1084","chrome",,"40,53125","System.Diagnostics.ProcessThreadCollection","81113088","C:\Program Files\Google\Chrome\Application\chrome.exe"
"3412","chrome",,"38,46875","System.Diagnostics.ProcessThreadCollection","78745600","C:\Program Files\Google\Chrome\Application\chrome.exe"
"5752","chrome",,"32,640625","System.Diagnostics.ProcessThreadCollection","75059200","C:\Program Files\Google\Chrome\Application\chrome.exe"
"6016","chrome",,"1,875","System.Diagnostics.ProcessThreadCollection","6455296","C:\Program Files\Google\Chrome\Application\chrome.exe"
"6116","chrome",,"0,09375","System.Diagnostics.ProcessThreadCollection","2080768","C:\Program Files\Google\Chrome\Application\chrome.exe"
"6132","chrome",,"12,9375","System.Diagnostics.ProcessThreadCollection","67657728","C:\Program Files\Google\Chrome\Application\chrome.exe"
"7548","chrome",,"5,65625","System.Diagnostics.ProcessThreadCollection","23834624","C:\Program Files\Google\Chrome\Application\chrome.exe"
"7652","chrome",,"75,8125","System.Diagnostics.ProcessThreadCollection","142831616","C:\Program Files\Google\Chrome\Application\chrome.exe"
"7752","chrome",,"3,96875","System.Diagnostics.ProcessThreadCollection","3174400","C:\Program Files\Google\Chrome\Application\chrome.exe"
"8520","chrome",,"1818,921875","System.Diagnostics.ProcessThreadCollection","752713728","C:\Program Files\Google\Chrome\Application\chrome.exe"
"8696","chrome",,"0,140625","System.Diagnostics.ProcessThreadCollection","32915456","C:\Program Files\Google\Chrome\Application\chrome.exe"
"10824","chrome",,"18,5625","System.Diagnostics.ProcessThreadCollection","85815296","C:\Program Files\Google\Chrome\Application\chrome.exe"
"11112","chrome",,"499,359375","System.Diagnostics.ProcessThreadCollection","184844288","C:\Program Files\Google\Chrome\Application\chrome.exe"
"11656","chrome",,"0,40625","System.Diagnostics.ProcessThreadCollection","6557696","C:\Program Files\Google\Chrome\Application\chrome.exe"
"14188","chrome",,"0,453125","System.Diagnostics.ProcessThreadCollection","3522560","C:\Program Files\Google\Chrome\Application\chrome.exe"
"14272","chrome",,"2,34375","System.Diagnostics.ProcessThreadCollection","7659520","C:\Program Files\Google\Chrome\Application\chrome.exe"
"15124","chrome",,"278,546875","System.Diagnostics.ProcessThreadCollection","184651776","C:\Program Files\Google\Chrome\Application\chrome.exe"
"18084","chrome",,"0,828125","System.Diagnostics.ProcessThreadCollection","5193728","C:\Program Files\Google\Chrome\Application\chrome.exe"
"18728","chrome",,"4,125","System.Diagnostics.ProcessThreadCollection","9900032","C:\Program Files\Google\Chrome\Application\chrome.exe"
"19232","chrome",,"63,75","System.Diagnostics.ProcessThreadCollection","196571136","C:\Program Files\Google\Chrome\Application\chrome.exe"
"19364","chrome",,"55,265625","System.Diagnostics.ProcessThreadCollection","32165888","C:\Program Files\Google\Chrome\Application\chrome.exe"
"19432","chrome",,"3,234375","System.Diagnostics.ProcessThreadCollection","3170304","C:\Program Files\Google\Chrome\Application\chrome.exe"
"20416","chrome",,"37,4375","System.Diagnostics.ProcessThreadCollection","151007232","C:\Program Files\Google\Chrome\Application\chrome.exe"
"23512","chrome",,"2,84375","System.Diagnostics.ProcessThreadCollection","35590144","C:\Program Files\Google\Chrome\Application\chrome.exe"
"21304","cmd",,"0,015625","System.Diagnostics.ProcessThreadCollection","8482816","C:\WINDOWS\system32\cmd.exe"
"1908","Code",,"103,9375","System.Diagnostics.ProcessThreadCollection","86073344","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"4032","Code",,"4,8125","System.Diagnostics.ProcessThreadCollection","1974272","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"5796","Code",,"86,078125","System.Diagnostics.ProcessThreadCollection","47566848","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"6076","Code",,"17,359375","System.Diagnostics.ProcessThreadCollection","24510464","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"6296","Code",,"20,21875","System.Diagnostics.ProcessThreadCollection","14172160","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"8360","Code",,"12,21875","System.Diagnostics.ProcessThreadCollection","22462464","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"8784","Code",,"1,75","System.Diagnostics.ProcessThreadCollection","1011712","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"10480","Code",,"203,8125","System.Diagnostics.ProcessThreadCollection","212283392","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"10840","Code",,"30,21875","System.Diagnostics.ProcessThreadCollection","67366912","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"11592","Code",,"2,1875","System.Diagnostics.ProcessThreadCollection","12541952","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"17520","Code",,"0,0625","System.Diagnostics.ProcessThreadCollection","921600","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"19152","Code",,"2,359375","System.Diagnostics.ProcessThreadCollection","28672","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"19536","Code",,"5,578125","System.Diagnostics.ProcessThreadCollection","18333696","C:\Users\YENY\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"8668","conhost",,"0,0625","System.Diagnostics.ProcessThreadCollection","172032","C:\WINDOWS\system32\conhost.exe"
"14940","conhost",,"0,90625","System.Diagnostics.ProcessThreadCollection","1396736","C:\WINDOWS\system32\conhost.exe"
"8872","Copilot",,"8,109375","System.Diagnostics.ProcessThreadCollection","20164608","C:\Program Files\WindowsApps\Microsoft.Copilot_1.25121.73.0_x64__8wekyb3d8bbwe\Copilot.exe"
